county_name,county_fips,season,TAVG,TMAX,TMIN,PRCP
Kern,FIPS:06029,Summer,80.73063167388167,95.0692738095238,66.38575937950938,4.703434328017661
Kern,FIPS:06029,Fall,64.97711938061938,77.68186288711289,52.26049902874903,12.433349575714772
Kings,FIPS:06031,Winter,50.12582352941176,60.597235294117645,39.66164705882353,35.22674369747899
Kings,FIPS:06031,Spring,63.218833333333336,76.39599999999999,50.04866666666667,20.387103174603176
Kings,FIPS:06031,Summer,82.27033333333333,97.89533333333334,66.63983333333333,0.6239351851851852
Kings,FIPS:06031,Fall,66.86933333333333,80.02633333333333,53.693,10.713650793650793
Lake,FIPS:06033,Winter,46.178605042016805,54.14085714285714,38.235260504201676,158.36752567693745
Lake,FIPS:06033,Spring,54.146857142857144,64.91266666666667,43.38704761904762,59.99552469135803
Lake,FIPS:06033,Summer,75.08595238095238,88.57285714285715,61.58595238095238,1.141358024691358
Lake,FIPS:06033,Fall,61.50114285714285,72.60795238095238,50.389714285714284,62.19545414462081
Lassen,FIPS:06035,Winter,33.070919786096255,43.50163101604278,22.635973262032085,79.10588235294118
Lassen,FIPS:06035,Spring,44.35647474747475,57.537616161616164,31.21941414141414,35.81388888888889
Lassen,FIPS:06035,Summer,66.95610606060606,83.74171212121212,50.1845505050505,7.175490196078432
Lassen,FIPS:06035,Fall,50.071893939393945,63.842757575757574,36.309060606060605,46.614814814814814
Los Angeles,FIPS:06037,Winter,53.44975787633673,63.1377268929229,43.75897977807118,76.59815938843477
Los Angeles,FIPS:06037,Spring,59.24623762010347,69.36875461936438,49.1125487012987,39.458904027554766
Los Angeles,FIPS:06037,Summer,74.84087367803306,86.3333626069053,63.35970594630365,6.1665845043537
Los Angeles,FIPS:06037,Fall,66.74389274480482,77.69727748522985,55.78984686262877,16.331257360203452
Madera,FIPS:06039,Winter,48.42976470588235,58.36558823529411,38.475235294117645,89.27865141394552
Madera,FIPS:06039,Spring,58.64266666666666,71.29683333333332,45.965,53.43707816874483
Madera,FIPS:06039,Summer,80.024,95.55066666666667,64.51483333333333,1.0092795784462452
Madera,FIPS:06039,Fall,65.104,77.89916666666667,52.27,26.421847920597923
Marin,FIPS:06041,Winter,51.27005882352941,58.649,43.92129411764706,152.60397093102975
Marin,FIPS:06041,Spring,56.31399999999999,66.77850000000001,45.847,50.45425666925667
Marin,FIPS:06041,Summer,67.50933333333333,81.297,53.783,2.205793280793281
Marin,FIPS:06041,Fall,63.036,73.5705,52.507,55.08758998717332
Mariposa,FIPS:06043,Winter,45.017189075630256,53.37066386554621,36.67306722689076,134.12678571428572
Mariposa,FIPS:06043,Spring,53.43492063492064,63.63914682539682,43.233531746031744,75.66638888888889
Mariposa,FIPS:06043,Summer,73.94086507936508,86.07798412698413,61.79136111111111,3.1476587301587298
Mariposa,FIPS:06043,Fall,60.91231349206349,71.20146031746032,50.60650793650794,41.36420634920634
Mendocino,FIPS:06045,Winter,46.52032352941177,55.789911764705884,37.255794117647056,185.54673473064705
Mendocino,FIPS:06045,Spring,53.46344444444445,65.79177777777778,41.138111111111115,79.1440793261749
Mendocino,FIPS:06045,Summer,70.49655555555556,86.03422222222221,54.94866666666667,4.169649600580973
Mendocino,FIPS:06045,Fall,59.66888888888889,72.41566666666667,46.91822222222223,75.44344673980703
Merced,FIPS:06047,Winter,49.901831932773106,60.71710924369748,39.07389915966387,52.06708683473389
Merced,FIPS:06047,Spring,61.50628571428571,75.74771428571428,47.26428571428571,22.891693121693123
Merced,FIPS:06047,Summer,78.31985714285715,95.85785714285714,60.77028571428571,0.1037037037037037
Merced,FIPS:06047,Fall,65.65209523809524,80.14495238095239,51.13557142857143,14.25193121693122
Modoc,FIPS:06049,Winter,32.72396767937944,41.94239948287007,23.52053393665158,72.86719251336899
Modoc,FIPS:06049,Spring,43.095076923076924,55.05773992673993,31.1693663003663,50.434680134680136
Modoc,FIPS:06049,Summer,65.71387179487179,81.38348351648352,50.07298534798535,13.555446127946128
Modoc,FIPS:06049,Fall,49.294663003663004,61.94060256410256,36.644,38.38781986531987
Mono,FIPS:06051,Winter,30.868740318505026,42.720943115707826,19.004744667097608,109.4372073677956
Mono,FIPS:06051,Spring,40.949499333999334,53.919087246087244,27.934836996336998,55.07498035914703
Mono,FIPS:06051,Summer,62.982591575091575,78.12655677655678,47.7242673992674,23.09719977553311
Mono,FIPS:06051,Fall,47.33078205128205,61.22319230769231,33.303553113553114,39.91896745230079
Monterey,FIPS:06053,Winter,51.381567256273144,62.78339983545866,39.95035170711641,89.62249716402397
Monterey,FIPS:06053,Spring,56.48211538461538,68.69673076923077,44.26128205128205,44.36959579772079
Monterey,FIPS:06053,Summer,67.97301864801865,82.15001165501165,53.80571095571096,0.8645806045806046
Monterey,FIPS:06053,Fall,62.53986596736597,76.08023892773893,49.009632867132865,24.48668905168905
Napa,FIPS:06055,Winter,49.16088235294117,60.030764705882355,38.285,125.79466386554624
Napa,FIPS:06055,Spring,57.029833333333336,70.54883333333333,43.531666666666666,46.54534391534392
Napa,FIPS:06055,Summer,70.197,86.18499999999999,54.24733333333334,0.7965608465608466
Napa,FIPS:06055,Fall,61.847,76.19083333333333,47.552166666666665,49.72633597883598
Nevada,FIPS:06057,Winter,38.726470588235294,49.00558823529412,28.436029411764707,172.26645978773348
Nevada,FIPS:06057,Spring,47.66833333333334,59.78861111111111,35.54138888888889,85.79179062511945
Nevada,FIPS:06057,Summer,69.04222222222222,84.36611111111111,53.71222222222222,6.0364218075144285
Nevada,FIPS:06057,Fall,54.99941666666667,68.27955555555556,41.72916666666667,67.08958079430603
Orange,FIPS:06059,Winter,58.568907563025206,67.78691176470588,49.36205882352941,58.75582109919066
Orange,FIPS:06059,Spring,62.23946428571429,70.76089285714286,53.70339285714286,34.94455832158349
Orange,FIPS:06059,Summer,73.00874999999999,82.41125,63.61625,4.157148476153052
Orange,FIPS:06059,Fall,69.3675,79.1975,59.51875,15.467837665502138
Placer,FIPS:06061,Winter,37.48223529411764,46.3123743315508,28.65334759358289,156.03077867318237
Placer,FIPS:06061,Spring,45.559030303030305,56.144954545454546,34.976409090909094,78.63915023465526
Placer,FIPS:06061,Summer,67.14163636363637,79.69509090909091,54.580636363636366,6.261620100769353
Placer,FIPS:06061,Fall,53.13887878787879,63.92532323232324,42.33418181818182,63.261221949156024
Plumas,FIPS:06063,Winter,36.402235294117645,46.95482352941177,25.764235294117647,132.93303921568628
Plumas,FIPS:06063,Spring,47.64954761904762,61.62354761904762,33.65538095238095,72.96626984126983
Plumas,FIPS:06063,Summer,68.99371428571429,86.86957142857143,51.109047619047615,9.118148148148148
